recipeNames,ingredients,,,,,,,,,,,,,,,all_ingredients
Poppy Seed Bread with Glaze, 3 cups all-purpose flour // 1 1/2 teaspoons salt // 1 1/2 teaspoons baking powder // 3 tablespoons poppy seeds // 1 1/2 teaspoons butter flavored extract // 1 1/3 cups vegetable oil // 3 eggs // 1 1/2 cups milk // 2 1/4 cups white sugar // 1 1/2 teaspoons vanilla extract // 1 1/2 teaspoons almond extract // 1/4 cup orange juice // 1/2 teaspoon butter flavored extract // 1/2 teaspoon almond extract // 1 teaspoon vanilla extract // 2 cups confectioners' sugar //,,,,,,,,,,,,,,,Poppy Seed Bread with Glaze //  3 cups all-purpose flour // 1 1/2 teaspoons salt // 1 1/2 teaspoons baking powder // 3 tablespoons poppy seeds // 1 1/2 teaspoons butter flavored extract // 1 1/3 cups vegetable oil // 3 eggs // 1 1/2 cups milk // 2 1/4 cups white sugar // 1 1/2 teaspoons vanilla extract // 1 1/2 teaspoons almond extract // 1/4 cup orange juice // 1/2 teaspoon butter flavored extract // 1/2 teaspoon almond extract // 1 teaspoon vanilla extract // 2 cups confectioners' sugar //
Czech Christmas Hoska, 1 (0.6 ounce) cake compressed fresh yeast // 1/4 cup warm water (110 degrees F/45 degrees C) // 1/2 cup white sugar // 1/2 cup butter // 1 egg, beaten // 1 teaspoon salt // 2 cups scalded milk // 6 cups all-purpose flour // 1 pinch ground ginger // 1 pinch ground mace // 1/4 teaspoon orange zest // 1/2 cup golden raisins // 1/2 cup candied mixed fruit peel // 1/2 cup blanched slivered almonds // 1 egg yolk // 1 tablespoon milk // 2 tablespoons confectioners' sugar //,,,,,,,,,,,,,,Czech Christmas Hoska //  1 (0.6 ounce) cake compressed fresh yeast // 1/4 cup warm water (110 degrees F/45 degrees C) // 1/2 cup white sugar // 1/2 cup butter // 1 egg //  beaten // 1 teaspoon salt // 2 cups scalded milk // 6 cups all-purpose flour // 1 pinch ground ginger // 1 pinch ground mace // 1/4 teaspoon orange zest // 1/2 cup golden raisins // 1/2 cup candied mixed fruit peel // 1/2 cup blanched slivered almonds // 1 egg yolk // 1 tablespoon milk // 2 tablespoons confectioners' sugar //
Applesauce Bread I, 3 cups all-purpose flour // 3 eggs // 2 cups white sugar // 1 cup vegetable oil // 2 cups applesauce // 1 cup raisins (optional) // 1 teaspoon ground cinnamon // 1 teaspoon baking soda // 1/4 teaspoon baking powder // 1/2 cup sour cream //,,,,,,,,,,,,,,,Applesauce Bread I //  3 cups all-purpose flour // 3 eggs // 2 cups white sugar // 1 cup vegetable oil // 2 cups applesauce // 1 cup raisins (optional) // 1 teaspoon ground cinnamon // 1 teaspoon baking soda // 1/4 teaspoon baking powder // 1/2 cup sour cream //
Raisin Brown Bread, 2 cups boiling water // 1 cup rolled oats // 2 tablespoons shortening // 3 tablespoons brown sugar // 4 teaspoons salt // 1 cup molasses // 1/2 cup warm water (110 degrees F/45 degrees C) // 1 teaspoon white sugar // 2 tablespoons active dry yeast // 3 cups warm water (110 degrees F/45 degrees C) // 12 cups bread flour // 1 1/2 cups raisins // 1 1/2 teaspoons ground cinnamon //,,,,,,,,,,,,,,,Raisin Brown Bread //  2 cups boiling water // 1 cup rolled oats // 2 tablespoons shortening // 3 tablespoons brown sugar // 4 teaspoons salt // 1 cup molasses // 1/2 cup warm water (110 degrees F/45 degrees C) // 1 teaspoon white sugar // 2 tablespoons active dry yeast // 3 cups warm water (110 degrees F/45 degrees C) // 12 cups bread flour // 1 1/2 cups raisins // 1 1/2 teaspoons ground cinnamon //
Applesauce Raisin Bread, 1 1/2 cups all-purpose flour // 1 1/2 teaspoons baking powder // 1/2 teaspoon baking soda // 1 1/2 teaspoons ground cinnamon // 1 cup quick cooking oats // 3/4 cup packed brown sugar // 3/4 cup raisins // 1 1/4 cups applesauce // 1/3 cup vegetable oil // 2 eggs, beaten // 1/4 cup milk // 1/4 cup apple juice //,,,,,,,,,,,,,,Applesauce Raisin Bread //  1 1/2 cups all-purpose flour // 1 1/2 teaspoons baking powder // 1/2 teaspoon baking soda // 1 1/2 teaspoons ground cinnamon // 1 cup quick cooking oats // 3/4 cup packed brown sugar // 3/4 cup raisins // 1 1/4 cups applesauce // 1/3 cup vegetable oil // 2 eggs //  beaten // 1/4 cup milk // 1/4 cup apple juice //
Apple Raisin Bread, 1 1/2 cups all-purpose flour // 2 teaspoons baking powder // 1/4 teaspoon baking soda // 1 teaspoon salt // 1 1/4 teaspoons ground cinnamon // 1/4 teaspoon ground nutmeg // 2/3 cup packed brown sugar // 1 cup rolled oats // 1 1/2 cups grated apple // 1/4 cup chopped walnuts // 1/4 cup raisins // 2 eggs // 1/4 cup milk // 1/4 cup vegetable oil //,,,,,,,,,,,,,,,Apple Raisin Bread //  1 1/2 cups all-purpose flour // 2 teaspoons baking powder // 1/4 teaspoon baking soda // 1 teaspoon salt // 1 1/4 teaspoons ground cinnamon // 1/4 teaspoon ground nutmeg // 2/3 cup packed brown sugar // 1 cup rolled oats // 1 1/2 cups grated apple // 1/4 cup chopped walnuts // 1/4 cup raisins // 2 eggs // 1/4 cup milk // 1/4 cup vegetable oil //
Buttermilk Oatmeal Bread, 1 cup rolled oats // 1 cup buttermilk // 1/2 cup vegetable oil // 1 egg // 1/2 cup packed brown sugar // 1 cup all-purpose flour // 1 teaspoon baking powder // 1/2 teaspoon baking soda // 1/2 teaspoon salt //,,,,,,,,,,,,,,,Buttermilk Oatmeal Bread //  1 cup rolled oats // 1 cup buttermilk // 1/2 cup vegetable oil // 1 egg // 1/2 cup packed brown sugar // 1 cup all-purpose flour // 1 teaspoon baking powder // 1/2 teaspoon baking soda // 1/2 teaspoon salt //
Kolaches II, 1 cup shortening // 1/2 cup white sugar // 1 1/2 teaspoons salt // 2 1/2 cups scalded milk // 4 egg yolks, beaten // 1/2 teaspoon lemon extract // 1 1/2 tablespoons active dry yeast // 5 cups all-purpose flour // 1/2 cup fruit preserves //,,,,,,,,,,,,,,Kolaches II //  1 cup shortening // 1/2 cup white sugar // 1 1/2 teaspoons salt // 2 1/2 cups scalded milk // 4 egg yolks //  beaten // 1/2 teaspoon lemon extract // 1 1/2 tablespoons active dry yeast // 5 cups all-purpose flour // 1/2 cup fruit preserves //
Whole Wheat Bread II, 1/3 cup shortening // 1 cup hot water // 1 cup packed brown sugar // 3 (.25 ounce) packages active dry yeast // 4 cups warm water (110 degrees F/45 degrees C) // 4 tablespoons white sugar // 4 teaspoons salt // 6 cups bread flour // 6 cups whole wheat flour //,,,,,,,,,,,,,,,Whole Wheat Bread II //  1/3 cup shortening // 1 cup hot water // 1 cup packed brown sugar // 3 (.25 ounce) packages active dry yeast // 4 cups warm water (110 degrees F/45 degrees C) // 4 tablespoons white sugar // 4 teaspoons salt // 6 cups bread flour // 6 cups whole wheat flour //
Finnish Pulla, 2 cups milk // 1/2 cup warm water (110 degrees F/45 degrees C) // 1 (.25 ounce) package active dry yeast // 1 cup white sugar // 1 teaspoon salt // 1 teaspoon ground cardamom // 4 eggs, beaten // 9 cups all-purpose flour // 1/2 cup butter, melted // 1 egg, beaten // 2 tablespoons white sugar //,,,,,,,,,,,,Finnish Pulla //  2 cups milk // 1/2 cup warm water (110 degrees F/45 degrees C) // 1 (.25 ounce) package active dry yeast // 1 cup white sugar // 1 teaspoon salt // 1 teaspoon ground cardamom // 4 eggs //  beaten // 9 cups all-purpose flour // 1/2 cup butter //  melted // 1 egg //  beaten // 2 tablespoons white sugar //
Chinese Steamed Buns, 1 tablespoon active dry yeast // 1 teaspoon white sugar // 1/4 cup all-purpose flour // 1/4 cup water // 1/2 cup warm water // 1 1/2 cups all-purpose flour // 1/4 teaspoon salt // 2 tablespoons white sugar // 1 tablespoon vegetable oil // 1/2 teaspoon baking powder //,,,,,,,,,,,,,,,Chinese Steamed Buns //  1 tablespoon active dry yeast // 1 teaspoon white sugar // 1/4 cup all-purpose flour // 1/4 cup water // 1/2 cup warm water // 1 1/2 cups all-purpose flour // 1/4 teaspoon salt // 2 tablespoons white sugar // 1 tablespoon vegetable oil // 1/2 teaspoon baking powder //
Cottage Cheese Bread II, 3/4 cup warm water (110 degrees F/45 degrees C) // 1 cup cottage cheese, room temperature // 2 tablespoons vegetable oil // 1 egg // 3 cups all-purpose flour // 2 tablespoons white sugar // 1/4 teaspoon baking soda // 1 teaspoon salt // 1 3/4 teaspoons active dry yeast //,,,,,,,,,,,,,,Cottage Cheese Bread II //  3/4 cup warm water (110 degrees F/45 degrees C) // 1 cup cottage cheese //  room temperature // 2 tablespoons vegetable oil // 1 egg // 3 cups all-purpose flour // 2 tablespoons white sugar // 1/4 teaspoon baking soda // 1 teaspoon salt // 1 3/4 teaspoons active dry yeast //
Mocha Chocolate Chip Banana Muffins, 1 cup margarine // 1 1/4 cups white sugar // 1 egg // 3 ripe bananas // 1 tablespoon instant coffee granules, dissolved in // 1 tablespoon water // 1 teaspoon vanilla extract // 2 1/4 cups all-purpose flour // 1/4 teaspoon salt // 1 teaspoon baking powder // 1 teaspoon baking soda // 1 cup semisweet chocolate chips //,,,,,,,,,,,,,,Mocha Chocolate Chip Banana Muffins //  1 cup margarine // 1 1/4 cups white sugar // 1 egg // 3 ripe bananas // 1 tablespoon instant coffee granules //  dissolved in // 1 tablespoon water // 1 teaspoon vanilla extract // 2 1/4 cups all-purpose flour // 1/4 teaspoon salt // 1 teaspoon baking powder // 1 teaspoon baking soda // 1 cup semisweet chocolate chips //
Ruby's Special Cornbread, 1 cup cornmeal // 1 cup milk // 3 eggs // 1/2 cup chopped green bell pepper // 1/2 cup chopped onion // 1 teaspoon garlic powder // 1/2 teaspoon salt // 1/2 teaspoon baking soda // 1/2 teaspoon white sugar // 1 (8.75 ounce) can whole kernel corn, drained // 1 (4 ounce) jar diced pimento peppers, drained // 1/2 cup vegetable oil // 2 teaspoons chopped jalapeno peppers //,,,,,,,,,,,,,Ruby's Special Cornbread //  1 cup cornmeal // 1 cup milk // 3 eggs // 1/2 cup chopped green bell pepper // 1/2 cup chopped onion // 1 teaspoon garlic powder // 1/2 teaspoon salt // 1/2 teaspoon baking soda // 1/2 teaspoon white sugar // 1 (8.75 ounce) can whole kernel corn //  drained // 1 (4 ounce) jar diced pimento peppers //  drained // 1/2 cup vegetable oil // 2 teaspoons chopped jalapeno peppers //
Maple Muffins, 1 1/2 cups all-purpose flour // 1/4 cup white sugar // 2 teaspoons baking powder // 1/2 teaspoon salt // 1/4 cup shortening // 1/4 cup rolled oats // 1 egg, beaten // 1/2 cup milk // 1/2 cup real maple syrup //,,,,,,,,,,,,,,Maple Muffins //  1 1/2 cups all-purpose flour // 1/4 cup white sugar // 2 teaspoons baking powder // 1/2 teaspoon salt // 1/4 cup shortening // 1/4 cup rolled oats // 1 egg //  beaten // 1/2 cup milk // 1/2 cup real maple syrup //
French Toast I, 6 thick slices bread // 2 eggs // 2/3 cup milk // 1/4 teaspoon ground cinnamon (optional) // 1/4 teaspoon ground nutmeg (optional) // 1 teaspoon vanilla extract (optional) // salt to taste //,,,,,,,,,,,,,,,French Toast I //  6 thick slices bread // 2 eggs // 2/3 cup milk // 1/4 teaspoon ground cinnamon (optional) // 1/4 teaspoon ground nutmeg (optional) // 1 teaspoon vanilla extract (optional) // salt to taste //
Snow Day French Toast, 2 eggs // 1/2 cup milk // 1/4 teaspoon salt // 1/2 teaspoon ground nutmeg // 6 slices raisin bread // 2 tablespoons butter // 1 cup white sugar //,,,,,,,,,,,,,,,Snow Day French Toast //  2 eggs // 1/2 cup milk // 1/4 teaspoon salt // 1/2 teaspoon ground nutmeg // 6 slices raisin bread // 2 tablespoons butter // 1 cup white sugar //
Angel Biscuits II, 1 (.25 ounce) package active dry yeast // 1/4 cup warm water (110 degrees F/45 degrees C) // 2 cups buttermilk // 5 cups all-purpose flour // 1 tablespoon baking powder // 1 teaspoon baking soda // 2 teaspoons salt // 3 tablespoons white sugar // 3/4 cup shortening //,,,,,,,,,,,,,,,Angel Biscuits II //  1 (.25 ounce) package active dry yeast // 1/4 cup warm water (110 degrees F/45 degrees C) // 2 cups buttermilk // 5 cups all-purpose flour // 1 tablespoon baking powder // 1 teaspoon baking soda // 2 teaspoons salt // 3 tablespoons white sugar // 3/4 cup shortening //
Fudgy Chocolate Chip Muffins, 1/2 cup applesauce // 1/4 cup margarine, softened // 1/2 cup white sugar // 1/2 cup light brown sugar // 1 egg // 1/2 teaspoon vanilla extract // 1 cup all-purpose flour // 1/4 cup unsweetened cocoa powder // 1/2 teaspoon baking soda // 1/4 teaspoon ground cinnamon (optional) // 1 cup semi-sweet chocolate chips // 2 tablespoons confectioners' sugar (optional) //,,,,,,,,,,,,,,Fudgy Chocolate Chip Muffins //  1/2 cup applesauce // 1/4 cup margarine //  softened // 1/2 cup white sugar // 1/2 cup light brown sugar // 1 egg // 1/2 teaspoon vanilla extract // 1 cup all-purpose flour // 1/4 cup unsweetened cocoa powder // 1/2 teaspoon baking soda // 1/4 teaspoon ground cinnamon (optional) // 1 cup semi-sweet chocolate chips // 2 tablespoons confectioners' sugar (optional) //
Pumpernickel Bread II, 2 cups warm milk // 2 tablespoons vegetable oil // 4 tablespoons molasses // 3 1/4 cups bread flour // 1 1/3 cups rye flour // 1/2 cup cornmeal // 1 1/3 teaspoons salt // 2 2/3 teaspoons active dry yeast // 4 tablespoons unsweetened cocoa powder // 2 2/3 tablespoons brown sugar //,,,,,,,,,,,,,,,Pumpernickel Bread II //  2 cups warm milk // 2 tablespoons vegetable oil // 4 tablespoons molasses // 3 1/4 cups bread flour // 1 1/3 cups rye flour // 1/2 cup cornmeal // 1 1/3 teaspoons salt // 2 2/3 teaspoons active dry yeast // 4 tablespoons unsweetened cocoa powder // 2 2/3 tablespoons brown sugar //
Indian Naan II, 2/3 cup warm water (110 degrees F/45 degrees C) // 1 teaspoon active dry yeast // 1 teaspoon white sugar // 2 cups all-purpose flour // 1 teaspoon salt // 1/4 cup ghee // 2 tablespoons plain yogurt // 2 teaspoons kalonji (onion seed) //,,,,,,,,,,,,,,,Indian Naan II //  2/3 cup warm water (110 degrees F/45 degrees C) // 1 teaspoon active dry yeast // 1 teaspoon white sugar // 2 cups all-purpose flour // 1 teaspoon salt // 1/4 cup ghee // 2 tablespoons plain yogurt // 2 teaspoons kalonji (onion seed) //
Lefse II, 1 cup buttermilk // 6 tablespoons light corn syrup // 1/4 cup white sugar // 1/2 teaspoon baking soda // 1/8 teaspoon ground cardamom // 3 1/2 cups all-purpose flour //,,,,,,,,,,,,,,,Lefse II //  1 cup buttermilk // 6 tablespoons light corn syrup // 1/4 cup white sugar // 1/2 teaspoon baking soda // 1/8 teaspoon ground cardamom // 3 1/2 cups all-purpose flour //
